type,value
bands,1000
rxTunes,1031
rxTunes,1080
rxPreSelectors,254
rxPreSelectors,254
rxPreSelectors,254
rxPreSelectors,486
rxPreSelectors,486
rxPreSelectors,710
rxPreSelectors,710
rxPreSelectors,710
rxPreSelectors,1419
rxPreSelectors,1419
rxPreSelectors,1419
rxPreSelectors,2304
rxPreSelectors,2304
rxPreSelectors,2304
rxPreSelectors,2304
rxPreSelectors,2951
rxPreSelectors,2951
antennaBands,3101
paBands,1956
paBands,1956
paBands,1956
paBands,1956

txTunes,500
txTunes,500
txTunes,500
txTunes,500
txTunes,500

txTunes,700
txTunes,700
txTunes,700
txTunes,700
txTunes,700

txTunes,900
txTunes,900
txTunes,900
txTunes,900
txTunes,900

txTunes,1100
txTunes,1100
txTunes,1100
txTunes,1100
txTunes,1100

txTunes,1300
txTunes,1300
txTunes,1300
txTunes,1300
txTunes,1300

txTunes,1500
txTunes,1500
txTunes,1500
txTunes,1500
txTunes,1500

txTunes,1700
txTunes,1700
txTunes,1700
txTunes,1700
txTunes,1700
