person,steps
slance,10282
slance,16386
slance,12488
slance,10269
slance,7471
slance,10850
slance,15342
slance,12077
slance,20230
slance,7547
slance,8769
slance,6584
slance,10306
slance,7628
slance,8732
slance,10417
slance,9864
slance,16109
slance,11023
slance,11107
slance,10723
slance,10336
slance,12662
slance,10012
slance,5598
slance,10632
slance,10478
slance,6018
slance,6254
slance,4475
slance,2209
slance,8469
slance,6353
slance,5852
slance,7265
slance,10919
slance,18757
slance,15897
slance,16048
slance,10098
slance,11188
slance,11760
slance,6128
slance,12347
slance,6807
slance,7869
slance,9803
slance,12287
slance,7143
slance,6437
slance,5777
slance,2552
slance,13424
slance,13474
slance,10111
slance,15260
slance,12835
slance,12817
slance,12356
slance,12013
slance,15399
slance,5023
slance,12061
slance,9858
slance,10775
slance,12399
slance,6663
slance,4907
slance,8762
slance,6139
slance,7037
slance,4035
slance,5217
slance,7751
slance,8223
slance,8426
slance,14087
slance,12934
slance,11752
slance,15001
slance,10488
slance,10052
slance,14250
slance,10746
slance,8532
slance,7272
slance,5024
slance,3950
slance,8464
slance,8720
slance,10258
slance,10606
slance,10274
slance,10234
slance,7607
slance,7501
slance,8677
slance,7691
slance,7210
slance,14836
slance,7347
slance,6062
slance,6463
slance,6886
slance,8066
slance,15545
slance,18167
slance,9644
slance,2981
slance,2768
slance,13207
slance,15528
slance,11149
slance,12573
slance,12460
slance,12360
slance,16041
slance,11152
slance,14507
slance,14773
slance,11103
slance,1139
slance,5733
slance,2041
slance,11837
slance,4612
slance,13155
slance,10914
slance,12439
slance,10954
slance,4689
slance,8357
slance,11086
slance,15309
slance,4390
slance,7285
slance,9369
slance,4234
slance,10855
slance,2390
slance,6256
slance,9615
slance,10177
slance,6264
slance,3194
slance,4228
slance,10927
slance,7945
slance,13171
slance,7331
slance,7649
slance,3663
slance,6000
slance,5773
slance,12868
slance,12372
slance,5215
slance,6162
slance,5779
slance,6638
slance,8010
slance,22248
slance,13580
slance,11617
slance,12406
slance,13214
slance,10247
slance,13629
slance,9613
slance,10014
slance,8005
slance,14117
slance,9246
slance,6012
slance,8589
slance,11884
slance,13610
slance,6146
slance,13596
slance,3138
slance,8114
slance,3063
slance,8883
slance,5533
slance,11171
slance,15012
slance,12005
slance,8263
slance,12682
slance,7452
slance,10320
slance,12211
slance,8018
slance,15485
slance,5130
slance,8618
slance,4629
slance,2994
slance,5599
slance,13568
slance,6808
slance,8182
slance,8750
slance,8795
slance,4029
slance,1450
slance,11785
slance,8098
slance,10019
slance,12036
slance,3019
slance,12123
slance,14060
slance,22428
slance,21185
slance,20166
slance,15077
slance,15114
slance,15097
slance,15146
slance,11518
slance,11673
slance,12033
slance,12008
slance,12007
slance,16010
slance,17206
slance,16436
slance,17034
slance,16052
slance,12197
slance,10047
slance,10097
slance,11517
slance,10007
slance,5862
slance,7058
slance,4429
slance,4631
slance,3348
slance,8467
slance,6387
slance,7528
slance,6415
slance,9274
slance,10479
slance,10308
slance,24212
slance,12832
slance,22564
slance,16054
slance,10199
slance,3540
slance,2977
slance,6176
slance,8030
slance,4736
slance,4765
slance,3396
slance,17140
slance,17516
slance,15433
slance,17792
slance,16011
slance,15048
slance,16230
slance,14792
slance,20438
slance,12017
slance,6118
slance,9254
slance,10165
slance,6022
slance,12029
slance,8154
slance,8658
slance,8395
slance,10279
slance,6576
slance,3813
slance,4098
slance,9041
slance,7340
slance,6041
slance,9734
slance,8068
slance,8482
slance,8697
slance,6063
slance,12001
slance,7109
slance,8171
slance,5372
slance,5131
slance,8109
slance,8104
slance,5239
slance,11014
slance,5311
slance,10212
slance,8023
slance,7371
slance,10620
slance,14069
slance,19149
slance,14316
slance,12700
slance,18081
